WKT,FEAT_DESC,NAME,PERENNIAL,HIERARCHY,MAP_LEGEND,PERIMETER,HECTARES,myarea,myperim
"MULTIPOLYGON (((120.17602 -20.82477,120.17461 -20.82387,120.17198 -20.82344,120.17196 -20.81805,120.1721 -20.81687,120.17231 -20.81659,120.17351 -20.81675,120.17339 -20.8223,120.1753 -20.8226,120.17644 -20.82383,120.17642 -20.82447,120.17602 -20.82477)))",Lake,,Perennial,Not applicable,Perennial Lake,2472.725,16.465,"164647","2469"
"MULTIPOLYGON (((120.65347 -20.71518,120.65331 -20.71574,120.65267 -20.71601,120.64931 -20.71595,120.6473 -20.71585,120.64343 -20.715,120.64292 -20.71384,120.64363 -20.71355,120.64755 -20.7145,120.65282 -20.71462,120.65347 -20.71518)))",Lake,YULADING POOL,Perennial,Not applicable,Perennial Lake,2383.959,16.396,"163956","2393"
"MULTIPOLYGON (((120.67295 -20.72371,120.67386 -20.72373,120.67657 -20.72701,120.68108 -20.72945,120.68125 -20.73031,120.68036 -20.73061,120.67561 -20.72805,120.67277 -20.72459,120.67295 -20.72371)))",Lake,,Perennial,Not applicable,Perennial Lake,2443.789,16.253,"162527","2445"
"MULTIPOLYGON (((120.11793 -20.64661,120.11378 -20.64375,120.11061 -20.6421,120.10995 -20.64132,120.11015 -20.64058,120.11093 -20.64048,120.11457 -20.64262,120.11863 -20.6454,120.11875 -20.64631,120.11793 -20.64661)))",Lake,,Perennial,Not applicable,Perennial Lake,2350.855,16.114,"161144","2354"
"MULTIPOLYGON (((118.06922 -20.50686,118.06706 -20.50653,118.06334 -20.50678,118.06286 -20.50666,118.06141 -20.50441,118.06153 -20.50385,118.06224 -20.50339,118.0632 -20.50339,118.06453 -20.50496,118.06573 -20.50541,118.06729 -20.50529,118.06873 -20.50551,118.06945 -20.50584,118.06969 -20.50641,118.06922 -20.50686)))",Lake,,Perennial,Not applicable,Perennial Lake,2103.053,15.953,"159533","2108"
"MULTIPOLYGON (((120.36911 -21.34207,120.36863 -21.34297,120.36802 -21.34342,120.36566 -21.3441,120.36055 -21.34498,120.3579 -21.34498,120.35656 -21.34437,120.35622 -21.34408,120.35632 -21.34379,120.3567 -21.34374,120.35831 -21.3442,120.35935 -21.34431,120.3614 -21.34389,120.3635 -21.34327,120.36634 -21.34262,120.36734 -21.34224,120.36829 -21.34159,120.36875 -21.34139,120.36899 -21.3415,120.36911 -21.34207)))",Lake,PELICAN POOL,Perennial,Not applicable,Perennial Lake,2936.880,15.742,"157416","2949"
"MULTIPOLYGON (((121.10097 -21.54949,121.09938 -21.54976,121.09802 -21.54981,121.0961 -21.54997,121.09548 -21.55002,121.09347 -21.54994,121.09198 -21.54962,121.09164 -21.54929,121.09134 -21.549,121.09103 -21.54849,121.09181 -21.54828,121.09316 -21.54884,121.09608 -21.54906,121.09913 -21.54885,121.10043 -21.54874,121.10174 -21.54833,121.10375 -21.54824,121.10524 -21.54844,121.10601 -21.54875,121.10648 -21.54935,121.10594 -21.54935,121.10536 -21.54923,121.10393 -21.54903,121.10218 -21.54913,121.10097 -21.54949)))",Lake,UPPER CARAWINE POOL,Perennial,Not applicable,Perennial Lake,3332.284,15.642,"156418","3349"
"MULTIPOLYGON (((120.03673 -20.62333,120.03567 -20.62316,120.03172 -20.62086,120.02985 -20.62032,120.02867 -20.62066,120.028 -20.62038,120.02788 -20.61984,120.0282 -20.6194,120.0289 -20.61894,120.03008 -20.61896,120.03359 -20.62024,120.0356 -20.6216,120.03707 -20.62216,120.03729 -20.62281,120.03673 -20.62333)))",Lake,,Perennial,Not applicable,Perennial Lake,2304.579,15.380,"153795","2310"
"MULTIPOLYGON (((120.69001 -20.8894,120.68909 -20.88904,120.68888 -20.88709,120.69055 -20.8818,120.69171 -20.88034,120.69264 -20.88028,120.69281 -20.8812,120.69186 -20.88241,120.69033 -20.88725,120.69046 -20.88891,120.69001 -20.8894)))",Lake,,Perennial,Not applicable,Perennial Lake,2322.744,15.289,"152888","2315"
"MULTIPOLYGON (((120.69262 -20.85498,120.6919 -20.85444,120.69182 -20.85036,120.69088 -20.84671,120.69101 -20.8459,120.69153 -20.84553,120.69234 -20.84597,120.69326 -20.85019,120.69332 -20.85438,120.69262 -20.85498)))",Lake,,Perennial,Not applicable,Perennial Lake,2267.882,15.282,"152817","2259"
"MULTIPOLYGON (((120.81598 -20.81643,120.81609 -20.81607,120.81643 -20.8158,120.81672 -20.81576,120.82092 -20.81628,120.82417 -20.81783,120.82556 -20.819,120.82546 -20.81988,120.82461 -20.81997,120.82336 -20.81896,120.82039 -20.81754,120.81808 -20.81712,120.81652 -20.81709,120.81598 -20.81643)))",Lake,,Perennial,Not applicable,Perennial Lake,2331.268,15.085,"150854","2338"
"MULTIPOLYGON (((117.59574 -20.98381,117.59555 -20.98293,117.59686 -20.9792,117.59722 -20.97559,117.59865 -20.97141,117.59927 -20.97127,117.59937 -20.97276,117.59854 -20.97491,117.59795 -20.97943,117.59723 -20.98135,117.59574 -20.98381)))",Lake,WONDA WOKARENA POOL,Perennial,Not applicable,Perennial Lake,2962.311,14.948,"149485","2950"
"MULTIPOLYGON (((120.46023 -20.74025,120.46007 -20.73986,120.46006 -20.73928,120.46581 -20.73552,120.46805 -20.73517,120.4687 -20.73559,120.46844 -20.73645,120.46639 -20.73676,120.46124 -20.74021,120.46023 -20.74025)))",Lake,,Perennial,Not applicable,Perennial Lake,2233.156,14.783,"147829","2237"
"MULTIPOLYGON (((121.10308 -21.7127,121.0997 -21.71418,121.09939 -21.71393,121.10066 -21.71305,121.10271 -21.71135,121.10307 -21.71056,121.10428 -21.70897,121.10476 -21.70773,121.10572 -21.70716,121.10585 -21.70784,121.10452 -21.71033,121.10453 -21.7127,121.10466 -21.71541,121.10442 -21.71586,121.10406 -21.71563,121.10381 -21.71428,121.10344 -21.71304,121.10308 -21.7127)))",Lake,,Perennial,Not applicable,Perennial Lake,2851.978,14.596,"145957","2846"
"MULTIPOLYGON (((120.18057 -20.87653,120.18005 -20.87614,120.18032 -20.87437,120.17913 -20.87293,120.17601 -20.87255,120.17491 -20.87139,120.17508 -20.87065,120.17587 -20.87053,120.17687 -20.87144,120.17926 -20.87147,120.18 -20.87181,120.18184 -20.87409,120.18128 -20.8763,120.18057 -20.87653)))",Lake,,Perennial,Not applicable,Perennial Lake,2260.693,14.580,"145796","2261"
"MULTIPOLYGON (((119.22442 -20.05279,119.22525 -20.05271,119.22604 -20.05301,119.22672 -20.05391,119.22711 -20.05485,119.22754 -20.05625,119.22785 -20.05723,119.22753 -20.05822,119.22713 -20.05944,119.22694 -20.06078,119.22621 -20.062,119.22561 -20.06319,119.22503 -20.06386,119.22411 -20.0646,119.22465 -20.06349,119.22598 -20.06027,119.22627 -20.05805,119.2264 -20.05636,119.22617 -20.05523,119.22557 -20.05387,119.22442 -20.05279)))",Lake,,Perennial,Not applicable,Perennial Lake,3034.931,14.555,"145552","3027"
"MULTIPOLYGON (((120.50114 -21.50617,120.50157 -21.50394,120.5029 -21.50202,120.50327 -21.49931,120.50279 -21.49852,120.50279 -21.49751,120.50387 -21.49717,120.50459 -21.49954,120.50435 -21.50202,120.50374 -21.5036,120.50302 -21.5045,120.50241 -21.50563,120.50114 -21.50617)))",Lake,,Perennial,Not applicable,Perennial Lake,2289.205,14.402,"144024","2281"
"MULTIPOLYGON (((117.62448 -21.09829,117.62521 -21.09745,117.6269 -21.09723,117.627 -21.09719,117.62918 -21.09644,117.62987 -21.0957,117.63161 -21.09454,117.63185 -21.09478,117.63208 -21.095,117.63111 -21.09588,117.63087 -21.09679,117.63123 -21.09735,117.63111 -21.09769,117.6305 -21.09814,117.62918 -21.09825,117.62665 -21.09892,117.62545 -21.09892,117.62448 -21.09829)))",Lake,KANGAN POOL,Perennial,Not applicable,Perennial Lake,2041.420,14.384,"143837","2046"
"MULTIPOLYGON (((115.78584 -21.43365,115.7851 -21.43329,115.7842 -21.43152,115.78286 -21.42884,115.78106 -21.42663,115.77959 -21.42425,115.7792 -21.4234,115.77924 -21.42295,115.77986 -21.42303,115.78185 -21.42585,115.78384 -21.42848,115.78563 -21.43196,115.78618 -21.43309,115.78584 -21.43365)))",Lake,,Perennial,Not applicable,Perennial Lake,2835.608,14.318,"143180","2828"
"MULTIPOLYGON (((119.49448 -20.43317,119.48595 -20.4275,119.48325 -20.42651,119.48122 -20.42527,119.48134 -20.42504,119.48194 -20.42504,119.48641 -20.42686,119.48995 -20.42889,119.49282 -20.43093,119.49448 -20.43317)))",Lake,,Perennial,Not applicable,Perennial Lake,3347.195,14.404,"144034","3353"
"MULTIPOLYGON (((119.85763 -22.55798,119.85702 -22.55798,119.85698 -22.55793,119.85653 -22.55742,119.85702 -22.55696,119.85787 -22.55673,119.86005 -22.55537,119.86235 -22.55356,119.86304 -22.55335,119.86368 -22.5531,119.86623 -22.55298,119.86697 -22.55358,119.86599 -22.55399,119.8649 -22.554,119.8632 -22.55457,119.86199 -22.55536,119.85957 -22.55718,119.85763 -22.55798)))",Lake,14 MILE POOL,Perennial,Not applicable,Perennial Lake,2486.209,14.178,"141775","2495"
"MULTIPOLYGON (((119.71443 -20.53502,119.71658 -20.53615,119.71529 -20.53621,119.71657 -20.53715,119.71782 -20.5376,119.71929 -20.53843,119.72073 -20.5401,119.72265 -20.54081,119.72448 -20.54258,119.72511 -20.54289,119.72636 -20.54361,119.72755 -20.54423,119.72875 -20.54493,119.72739 -20.5446,119.72608 -20.54399,119.72443 -20.54306,119.72352 -20.54249,119.72232 -20.54135,119.72079 -20.54068,119.71896 -20.5387,119.71635 -20.53752,119.71533 -20.53679,119.71371 -20.53648,119.71319 -20.53651,119.71041 -20.53518,119.7102 -20.53482,119.71057 -20.5347,119.71272 -20.53562,119.71356 -20.5355,119.71443 -20.53502)))",Lake,,Perennial,Not applicable,Perennial Lake,4882.354,14.289,"142895","4893"
"MULTIPOLYGON (((120.23079 -22.80877,120.22822 -22.80483,120.22676 -22.80348,120.22469 -22.80235,120.22171 -22.80012,120.22432 -22.80077,120.22597 -22.80167,120.22737 -22.80257,120.22944 -22.80449,120.23017 -22.80539,120.23066 -22.8064,120.23079 -22.80877)))",Lake,MEECARDAGUNNA POOL,Perennial,Not applicable,Perennial Lake,2821.353,14.015,"140148","2821"
"MULTIPOLYGON (((117.10517 -20.95837,117.1038 -20.95836,117.1071 -20.956,117.11095 -20.95464,117.11532 -20.95171,117.11431 -20.95341,117.11179 -20.95532,117.10517 -20.95837)))",Lake,PINANULAR POOL,Perennial,Not applicable,Perennial Lake,2872.820,14.173,"141729","2879"
"MULTIPOLYGON (((117.07973 -21.50041,117.07888 -21.49984,117.07829 -21.49916,117.07805 -21.49859,117.07745 -21.49814,117.07672 -21.49802,117.07407 -21.49801,117.07286 -21.49834,117.0708 -21.49923,117.06935 -21.4992,117.07069 -21.49799,117.07166 -21.49754,117.07504 -21.49654,117.07637 -21.49655,117.07795 -21.49732,117.07961 -21.49962,117.0802 -21.50017,117.07973 -21.50041)))",Lake,,Perennial,Not applicable,Perennial Lake,2656.709,14.090,"140897","2664"
"MULTIPOLYGON (((120.65395 -20.78163,120.65287 -20.78034,120.64745 -20.77757,120.64723 -20.77681,120.64795 -20.77637,120.64951 -20.77689,120.65385 -20.77931,120.65499 -20.78078,120.65494 -20.7814,120.65395 -20.78163)))",Lake,,Perennial,Not applicable,Perennial Lake,2071.664,14.114,"141137","2075"
"MULTIPOLYGON (((117.61425 -21.09619,117.61282 -21.09551,117.61063 -21.09497,117.60909 -21.09381,117.60837 -21.09302,117.60645 -21.08952,117.60621 -21.08873,117.60647 -21.08716,117.60765 -21.08907,117.60837 -21.09121,117.60909 -21.09235,117.61005 -21.09325,117.61174 -21.09413,117.61234 -21.09438,117.61306 -21.09438,117.61394 -21.0949,117.61405 -21.09538,117.61425 -21.09619)))",Lake,BOTTOM POOL,Perennial,Not applicable,Perennial Lake,2806.184,14.068,"140684","2804"
"MULTIPOLYGON (((120.76406 -20.79439,120.76402 -20.79481,120.76373 -20.79515,120.76284 -20.79537,120.75941 -20.79335,120.75707 -20.79125,120.75676 -20.79025,120.75674 -20.78988,120.75697 -20.78952,120.75725 -20.78937,120.75799 -20.78957,120.75835 -20.79052,120.7603 -20.79228,120.76406 -20.79439)))",Lake,,Perennial,Not applicable,Perennial Lake,2112.873,14.075,"140754","2114"
"MULTIPOLYGON (((120.54202 -20.69849,120.5423 -20.69801,120.54755 -20.69875,120.55082 -20.70049,120.55098 -20.70137,120.55022 -20.70168,120.54726 -20.7001,120.5431 -20.69948,120.54227 -20.69917,120.54202 -20.69849)))",Lake,,Perennial,Not applicable,Perennial Lake,2149.722,14.020,"140203","2156"
"MULTIPOLYGON (((120.47825 -21.25643,120.47729 -21.25599,120.47777 -21.25429,120.47982 -21.25057,120.48139 -21.2482,120.4826 -21.24708,120.48332 -21.24708,120.48296 -21.24809,120.48042 -21.25181,120.4791 -21.25429,120.4791 -21.25453,120.47873 -21.25508,120.47825 -21.25643)))",Lake,,Perennial,Not applicable,Perennial Lake,2505.574,13.798,"137979","2499"
"MULTIPOLYGON (((116.15721 -21.3199,116.1577 -21.31817,116.15782 -21.31625,116.15722 -21.31456,116.15722 -21.31377,116.15637 -21.31162,116.15457 -21.30891,116.15435 -21.30719,116.15746 -21.31128,116.15794 -21.31219,116.15818 -21.31456,116.15878 -21.31569,116.15902 -21.31648,116.15891 -21.31738,116.15721 -21.3199)))",Lake,TARDA POOL,Perennial,Not applicable,Perennial Lake,3100.003,13.717,"137169","3088"
"MULTIPOLYGON (((120.78725 -20.8032,120.78695 -20.80295,120.78685 -20.8027,120.7869 -20.80231,120.78772 -20.80193,120.79408 -20.80365,120.7954 -20.80365,120.79597 -20.8043,120.79554 -20.80493,120.79387 -20.805,120.78725 -20.8032)))",Lake,TOOMBINGIDGEE POOL,Perennial,Not applicable,Perennial Lake,2096.431,13.752,"137519","2104"
"MULTIPOLYGON (((120.0261 -21.9828,120.02513 -21.98223,120.02465 -21.98099,120.02491 -21.97873,120.026 -21.97716,120.02783 -21.97559,120.02855 -21.97525,120.02976 -21.97537,120.02988 -21.9756,120.02891 -21.97661,120.02685 -21.97806,120.02624 -21.97908,120.0261 -21.9828)))",Lake,,Perennial,Not applicable,Perennial Lake,2179.620,13.298,"132977","2176"
"MULTIPOLYGON (((120.29483 -20.95401,120.29408 -20.95399,120.29343 -20.95312,120.29084 -20.94714,120.29127 -20.94634,120.29221 -20.94671,120.29515 -20.95318,120.29483 -20.95401)))",Lake,,Perennial,Not applicable,Perennial Lake,1998.131,13.389,"133895","1992"
"MULTIPOLYGON (((120.45287 -21.56516,120.45214 -21.56561,120.45081 -21.56617,120.45081 -21.56572,120.45142 -21.56527,120.45311 -21.56302,120.45336 -21.56087,120.453 -21.55974,120.4536 -21.5567,120.45469 -21.55613,120.45505 -21.55614,120.45469 -21.55771,120.45445 -21.55805,120.45432 -21.56234,120.45359 -21.56426,120.45287 -21.56516)))",Lake,,Perennial,Not applicable,Perennial Lake,2612.113,13.313,"133127","2604"
"MULTIPOLYGON (((116.89538 -20.76246,116.89754 -20.76013,116.89831 -20.75902,116.89951 -20.75833,116.90071 -20.75844,116.90288 -20.75944,116.90468 -20.75943,116.9073 -20.75782,116.90617 -20.75976,116.90361 -20.76034,116.90204 -20.76012,116.90145 -20.76069,116.90157 -20.76141,116.90085 -20.76103,116.90096 -20.75957,116.90072 -20.75934,116.89976 -20.75912,116.89782 -20.76062,116.89713 -20.76185,116.89538 -20.76246)))",Lake,,Perennial,Not applicable,Perennial Lake,3371.388,13.327,"133268","3376"
"MULTIPOLYGON (((115.48916 -21.60886,115.48891 -21.60874,115.4889 -21.60848,115.48892 -21.6082,115.48895 -21.60793,115.48898 -21.60766,115.489 -21.60739,115.489 -21.60712,115.48898 -21.60685,115.4889 -21.60659,115.48879 -21.60634,115.48868 -21.60608,115.48862 -21.60582,115.4886 -21.60555,115.48859 -21.60528,115.48859 -21.60501,115.48859 -21.60474,115.4886 -21.60446,115.48861 -21.60419,115.48863 -21.60392,115.48866 -21.60365,115.48869 -21.60338,115.48873 -21.60311,115.48879 -21.60285,115.48886 -21.60259,115.48896 -21.60233,115.48906 -21.60207,115.48918 -21.60182,115.4893 -21.60157,115.48942 -21.60133,115.48956 -21.60109,115.48972 -21.60086,115.48989 -21.60064,115.49008 -21.60043,115.49027 -21.60023,115.49047 -21.60004,115.49068 -21.59985,115.49091 -21.59967,115.49114 -21.59951,115.49138 -21.59936,115.49163 -21.59922,115.49188 -21.59908,115.49213 -21.59895,115.49239 -21.59882,115.49264 -21.59869,115.4929 -21.59857,115.49315 -21.59844,115.49341 -21.5983,115.49366 -21.59817,115.4939 -21.59803,115.49414 -21.59787,115.49434 -21.59767,115.49452 -21.59746,115.49468 -21.59723,115.4948 -21.59698,115.49486 -21.59672,115.49487 -21.59644,115.49483 -21.59618,115.49473 -21.59592,115.49458 -21.59568,115.49439 -21.59548,115.49418 -21.5953,115.49395 -21.59512,115.49372 -21.59495,115.49349 -21.59477,115.49327 -21.5946,115.49306 -21.59441,115.49287 -21.59421,115.4927 -21.594,115.49257 -21.59376,115.49245 -21.5935,115.49236 -21.59324,115.49229 -21.59297,115.49225 -21.59271,115.49225 -21.59244,115.49229 -21.59216,115.49236 -21.5919,115.49244 -21.59164,115.49254 -21.59138,115.49265 -21.59113,115.49277 -21.59088,115.49289 -21.59063,115.49303 -21.5904,115.49319 -21.59017,115.49337 -21.58997,115.49359 -21.58978,115.49381 -21.5896,115.49403 -21.58942,115.4943 -21.58947,115.49434 -21.58973,115.49414 -21.58992,115.49392 -21.59011,115.49372 -21.5903,115.49354 -21.59051,115.49339 -21.59074,115.49326 -21.59098,115.49314 -21.59123,115.49303 -21.59148,115.49292 -21.59174,115.49283 -21.59199,115.49277 -21.59226,115.49274 -21.59254,115.49277 -21.5928,115.49283 -21.59307,115.49292 -21.59334,115.49303 -21.59359,115.49317 -21.59382,115.49335 -21.59403,115.49356 -21.59422,115.49377 -21.5944,115.494 -21.59457,115.49423 -21.59475,115.49446 -21.59492,115.49467 -21.5951,115.49488 -21.59529,115.49505 -21.59551,115.49519 -21.59575,115.49529 -21.59601,115.49535 -21.59627,115.49537 -21.59655,115.49535 -21.59682,115.49529 -21.59708,115.49518 -21.59734,115.49503 -21.59758,115.49487 -21.5978,115.49468 -21.59801,115.49447 -21.5982,115.49424 -21.59836,115.494 -21.59851,115.49375 -21.59865,115.4935 -21.59878,115.49324 -21.59891,115.49298 -21.59904,115.49273 -21.59917,115.49247 -21.5993,115.49222 -21.59943,115.49197 -21.59956,115.49172 -21.5997,115.49148 -21.59985,115.49124 -21.60001,115.49102 -21.60018,115.49081 -21.60037,115.4906 -21.60057,115.49041 -21.60077,115.49023 -21.60098,115.49007 -21.60121,115.48992 -21.60144,115.48978 -21.60168,115.48966 -21.60193,115.48955 -21.60218,115.48944 -21.60243,115.48934 -21.60269,115.48927 -21.60295,115.48921 -21.60321,115.48917 -21.60348,115.48914 -21.60375,115.48911 -21.60402,115.48909 -21.60429,115.48908 -21.60457,115.48908 -21.60484,115.48908 -21.60511,115.48909 -21.60538,115.4891 -21.60565,115.48914 -21.60592,115.48923 -21.60618,115.48935 -21.60643,115.48945 -21.60669,115.48949 -21.60695,115.48949 -21.60722,115.48948 -21.60749,115.48946 -21.60776,115.48943 -21.60803,115.4894 -21.60831,115.48937 -21.60858,115.48916 -21.60886)))",Lake,,Perennial,Not applicable,Perennial Lake,5255.033,13.087,"130871","5242"
"MULTIPOLYGON (((121.11078 -21.70072,121.1109 -21.70004,121.1121 -21.69902,121.11379 -21.69743,121.11729 -21.69551,121.11886 -21.69426,121.11934 -21.69437,121.11934 -21.69482,121.11958 -21.69493,121.11995 -21.6955,121.11524 -21.69788,121.11271 -21.6997,121.11078 -21.70072)))",Lake,,Perennial,Not applicable,Perennial Lake,2438.068,13.047,"130470","2442"
"MULTIPOLYGON (((119.56032 -20.54371,119.55775 -20.5407,119.55608 -20.53878,119.55536 -20.53754,119.55477 -20.53596,119.55441 -20.53427,119.55465 -20.53393,119.55501 -20.53393,119.55585 -20.53494,119.5568 -20.53743,119.55883 -20.54036,119.56032 -20.54371)))",Lake,,Perennial,Not applicable,Perennial Lake,2548.452,13.096,"130961","2542"
"MULTIPOLYGON (((117.03374 -21.56409,117.03025 -21.56294,117.02736 -21.56146,117.02447 -21.55975,117.02403 -21.55913,117.02505 -21.5591,117.0258 -21.55908,117.02688 -21.55965,117.02847 -21.56069,117.03037 -21.56193,117.03093 -21.56209,117.03158 -21.56227,117.03261 -21.56286,117.03278 -21.56296,117.0329 -21.56299,117.03399 -21.5633,117.0342 -21.56358,117.03435 -21.56378,117.03374 -21.56409)))",Lake,,Perennial,Not applicable,Perennial Lake,2450.571,12.960,"129602","2458"
"MULTIPOLYGON (((120.01309 -20.61744,120.00856 -20.61692,120.00586 -20.61716,120.00521 -20.61656,120.00576 -20.61584,120.00855 -20.61556,120.01307 -20.61597,120.01382 -20.61676,120.01309 -20.61744)))",Lake,,Perennial,Not applicable,Perennial Lake,1934.346,12.730,"127295","1942"
"MULTIPOLYGON (((120.67202 -20.81346,120.66821 -20.81028,120.66667 -20.80845,120.66683 -20.80756,120.66775 -20.80758,120.66926 -20.80934,120.67292 -20.81241,120.67295 -20.81334,120.67202 -20.81346)))",Lake,,Perennial,Not applicable,Perennial Lake,1946.155,12.563,"125631","1946"
"MULTIPOLYGON (((120.27259 -20.69637,120.27216 -20.6963,120.27167 -20.69552,120.27226 -20.69499,120.27564 -20.6952,120.27977 -20.69428,120.28046 -20.69463,120.28037 -20.6954,120.27957 -20.69586,120.2766 -20.69625,120.27259 -20.69637)))",Lake,,Perennial,Not applicable,Perennial Lake,2013.855,12.561,"125606","2021"
"MULTIPOLYGON (((117.79266 -21.8614,117.79297 -21.86195,117.79272 -21.8624,117.79116 -21.86387,117.79019 -21.86578,117.78909 -21.86669,117.78649 -21.8677,117.78634 -21.8672,117.78922 -21.86443,117.78994 -21.86319,117.79055 -21.86262,117.79266 -21.8614)))",Lake,,Perennial,Not applicable,Perennial Lake,2018.211,12.332,"123316","2018"
"MULTIPOLYGON (((120.55475 -20.70622,120.55442 -20.70556,120.55486 -20.70501,120.55583 -20.70503,120.55851 -20.70626,120.56135 -20.70849,120.56144 -20.70906,120.56105 -20.70949,120.56033 -20.70944,120.55775 -20.70742,120.55475 -20.70622)))",Lake,,Perennial,Not applicable,Perennial Lake,1841.836,12.141,"121410","1845"
"MULTIPOLYGON (((117.54157 -22.31068,117.53938 -22.31057,117.53744 -22.30989,117.53567 -22.30954,117.5369 -22.30917,117.53829 -22.3092,117.54012 -22.30922,117.54211 -22.30943,117.5434 -22.30934,117.54528 -22.3092,117.5461 -22.30945,117.5454 -22.31027,117.54407 -22.31044,117.54157 -22.31068)))",Lake,,Perennial,Not applicable,Perennial Lake,2214.365,12.002,"120019","2227"
"MULTIPOLYGON (((119.36019 -21.54987,119.35898 -21.54941,119.35669 -21.54806,119.35667 -21.5473,119.3585 -21.54591,119.35959 -21.54592,119.35971 -21.54671,119.3591 -21.54738,119.35926 -21.54783,119.36007 -21.54727,119.36055 -21.54738,119.36091 -21.54783,119.36091 -21.54862,119.36128 -21.54896,119.36126 -21.54944,119.36019 -21.54987)))",Lake,,Perennial,Not applicable,Perennial Lake,1627.128,12.046,"120461","1628"
"MULTIPOLYGON (((120.52407 -20.6937,120.5242 -20.69348,120.52454 -20.69328,120.52502 -20.69314,120.52883 -20.69354,120.52906 -20.69365,120.53021 -20.69376,120.53135 -20.69374,120.53231 -20.6942,120.53237 -20.69468,120.53213 -20.6949,120.5313 -20.6951,120.53015 -20.69511,120.52865 -20.69497,120.52841 -20.69486,120.52439 -20.69438,120.52412 -20.69401,120.52407 -20.6937)))",Lake,,Perennial,Not applicable,Perennial Lake,1881.369,12.094,"120941","1889"
"MULTIPOLYGON (((120.6794 -20.8238,120.68039 -20.82376,120.68446 -20.82738,120.68489 -20.8286,120.68442 -20.82923,120.68365 -20.82907,120.68321 -20.82812,120.67957 -20.82517,120.67917 -20.82446,120.6794 -20.8238)))",Lake,,Perennial,Not applicable,Perennial Lake,1777.008,11.909,"119086","1777"
"MULTIPOLYGON (((117.31835 -21.24364,117.31846 -21.2428,117.31955 -21.24133,117.32052 -21.24043,117.32149 -21.23976,117.3233 -21.23875,117.32438 -21.23785,117.32595 -21.23718,117.32704 -21.23639,117.32782 -21.23671,117.32691 -21.23763,117.32462 -21.23853,117.32402 -21.23909,117.32245 -21.24075,117.32088 -21.24145,117.32003 -21.24213,117.31906 -21.24336,117.31835 -21.24364)))",Lake,,Perennial,Not applicable,Perennial Lake,2610.994,11.855,"118550","2614"
"MULTIPOLYGON (((117.6363 -21.85841,117.63388 -21.85829,117.63284 -21.8581,117.6291 -21.85739,117.6284 -21.85669,117.62893 -21.85637,117.63001 -21.85637,117.6334 -21.85728,117.63679 -21.85773,117.63885 -21.85774,117.6406 -21.85714,117.63993 -21.8583,117.6363 -21.85841)))",Lake,,Perennial,Not applicable,Perennial Lake,2669.605,11.734,"117337","2683"
"MULTIPOLYGON (((120.66063 -20.97198,120.66041 -20.97124,120.66136 -20.96968,120.66272 -20.96592,120.66339 -20.96525,120.66406 -20.96533,120.66433 -20.96608,120.66269 -20.97021,120.66152 -20.972,120.66063 -20.97198)))",Lake,,Perennial,Not applicable,Perennial Lake,1801.483,11.749,"117489","1797"
"MULTIPOLYGON (((119.92753 -20.60846,119.92705 -20.60812,119.92729 -20.60789,119.92933 -20.6074,119.93101 -20.60688,119.93736 -20.60631,119.93832 -20.60649,119.93951 -20.6071,119.94143 -20.60755,119.94356 -20.6076,119.94311 -20.608,119.94215 -20.60811,119.93987 -20.60777,119.9376 -20.6071,119.9352 -20.60699,119.93208 -20.60744,119.93041 -20.608,119.92849 -20.60812,119.92753 -20.60846)))",Lake,,Perennial,Not applicable,Perennial Lake,3548.942,11.688,"116885","3564"
"MULTIPOLYGON (((120.88291 -21.11489,120.88291 -21.1115,120.88423 -21.10879,120.88567 -21.10766,120.88735 -21.10686,120.8883 -21.10619,120.88782 -21.10686,120.88639 -21.10856,120.88471 -21.10958,120.88375 -21.11127,120.88388 -21.11477,120.88412 -21.11511,120.88367 -21.11629,120.88315 -21.11692,120.88291 -21.11489)))",Lake,,Perennial,Not applicable,Perennial Lake,2861.793,11.515,"115150","2855"
"MULTIPOLYGON (((119.24598 -20.30414,119.24677 -20.30478,119.25086 -20.30739,119.25117 -20.30771,119.25412 -20.31082,119.25538 -20.31211,119.25603 -20.31263,119.25684 -20.31328,119.25826 -20.31452,119.25867 -20.31488,119.26016 -20.31611,119.25832 -20.31514,119.25613 -20.31372,119.25563 -20.31302,119.25544 -20.31275,119.25475 -20.31203,119.2549 -20.31288,119.25459 -20.3128,119.25426 -20.31272,119.25401 -20.3111,119.2536 -20.31064,119.25096 -20.30792,119.25067 -20.30761,119.24711 -20.3054,119.24634 -20.30498,119.24284 -20.30383,119.24198 -20.30355,119.24179 -20.30296,119.24229 -20.30295,119.24256 -20.30324,119.24501 -20.30398,119.24598 -20.30414)))",Lake,COOLENAR POOL,Perennial,Not applicable,Perennial Lake,5147.219,11.440,"114399","5152"
"MULTIPOLYGON (((119.3823 -21.32369,119.38085 -21.32369,119.37977 -21.32335,119.37856 -21.32233,119.37611 -21.31815,119.37676 -21.31815,119.37796 -21.3194,119.37941 -21.32143,119.38037 -21.32222,119.38121 -21.32256,119.38338 -21.32278,119.38429 -21.3233,119.3823 -21.32369)))",Lake,,Perennial,Not applicable,Perennial Lake,2262.328,11.352,"113518","2265"
