WKT,FEAT_DESC,NAME,PERENNIAL,HIERARCHY,MAP_LEGEND,PERIMETER,HECTARES,myarea,myperim
"MULTIPOLYGON (((118.02869 -20.52621,118.02424 -20.52919,118.02377 -20.52987,118.02449 -20.53077,118.0259 -20.53174,118.02631 -20.53248,118.02643 -20.53393,118.02607 -20.53483,118.0238 -20.53676,118.02177 -20.53779,118.02009 -20.53768,118.01852 -20.53667,118.01301 -20.53714,118.00966 -20.53829,118.00534 -20.53831,118.00391 -20.5391,118.00176 -20.54103,118.00127 -20.54081,118.00139 -20.54035,118.00354 -20.53831,118.00534 -20.53729,118.00713 -20.53683,118.01109 -20.53659,118.01732 -20.53543,118.019 -20.53565,118.02044 -20.53689,118.02296 -20.5362,118.02559 -20.53382,118.02522 -20.53224,118.02462 -20.53168,118.02305 -20.53062,118.02277 -20.53016,118.02237 -20.52949,118.02723 -20.52602,118.02869 -20.52621)))",Lake,,Perennial,Not applicable,Perennial Lake,8476.514,46.113,"461129","8494"
"MULTIPOLYGON (((120.30715 -21.37095,120.30705 -21.36997,120.30923 -21.36682,120.30971 -21.36565,120.31051 -21.36371,120.31108 -21.36173,120.31184 -21.36039,120.31212 -21.3599,120.31365 -21.35734,120.31507 -21.3552,120.31535 -21.35478,120.31757 -21.35203,120.32115 -21.34781,120.32287 -21.34665,120.32368 -21.34672,120.32371 -21.34751,120.32214 -21.34882,120.3159 -21.35618,120.31279 -21.36106,120.31133 -21.36531,120.31055 -21.36714,120.30794 -21.37053,120.30715 -21.37095)))",Lake,,Perennial,Not applicable,Perennial Lake,6551.683,43.253,"432520","6537"
"MULTIPOLYGON (((119.22351 -20.12079,119.22411 -20.12055,119.22446 -20.12036,119.2259 -20.11867,119.22763 -20.11654,119.22831 -20.1156,119.2285 -20.11311,119.22859 -20.11279,119.22965 -20.10884,119.23016 -20.10477,119.23194 -20.10411,119.23049 -20.10828,119.23048 -20.10918,119.2309 -20.11089,119.22941 -20.11211,119.2291 -20.11582,119.22734 -20.11844,119.22525 -20.12067,119.22414 -20.12139,119.22421 -20.1236,119.22469 -20.12383,119.22505 -20.1236,119.22529 -20.12383,119.22528 -20.12417,119.22466 -20.12537,119.22464 -20.12589,119.22306 -20.12863,119.22315 -20.12954,119.22263 -20.13019,119.22211 -20.13277,119.22189 -20.13499,119.222 -20.13837,119.22268 -20.14008,119.22247 -20.1409,119.22179 -20.14041,119.22118 -20.13908,119.22034 -20.13633,119.22022 -20.13498,119.22103 -20.13404,119.2214 -20.1336,119.22226 -20.12963,119.22212 -20.12943,119.22192 -20.12912,119.22206 -20.12833,119.22255 -20.12788,119.22408 -20.12581,119.22409 -20.12461,119.22349 -20.12382,119.22351 -20.12079)))",Lake,SALT POOL,Perennial,Not applicable,Perennial Lake,9242.709,42.331,"423310","9217"
"MULTIPOLYGON (((121.02362 -22.58522,121.02267 -22.58522,121.02132 -22.58486,121.0213 -22.58485,121.02118 -22.58481,121.02107 -22.58475,121.02097 -22.58467,121.02089 -22.58458,121.02083 -22.58447,121.02079 -22.58436,121.02077 -22.58424,121.02077 -22.58412,121.02079 -22.58401,121.02086 -22.58392,121.02098 -22.58379,121.02112 -22.58369,121.02128 -22.58361,121.02145 -22.58356,121.02166 -22.58354,121.02287 -22.58387,121.02337 -22.58386,121.02463 -22.58347,121.02637 -22.58237,121.02707 -22.58199,121.02773 -22.58175,121.02978 -22.58137,121.03168 -22.58032,121.03323 -22.57908,121.03561 -22.57755,121.03718 -22.57686,121.04098 -22.5759,121.04389 -22.57518,121.04391 -22.57518,121.04393 -22.57518,121.04406 -22.57518,121.04419 -22.5752,121.04431 -22.57524,121.04443 -22.5753,121.04453 -22.57537,121.04462 -22.57546,121.04469 -22.57556,121.04475 -22.57567,121.04476 -22.57575,121.04475 -22.57587,121.04473 -22.57598,121.04469 -22.5761,121.04463 -22.5762,121.04455 -22.5763,121.04445 -22.57638,121.04435 -22.57645,121.04423 -22.5765,121.04136 -22.57721,121.03768 -22.57813,121.03634 -22.57873,121.03412 -22.58016,121.03253 -22.58142,121.03031 -22.58266,121.02829 -22.58303,121.02769 -22.58321,121.02711 -22.58354,121.02528 -22.58469,121.02362 -22.58522)))",Lake,CARROWINA POOL,Perennial,Not applicable,Perennial Lake,5573.198,40.179,"401794","5595"
"MULTIPOLYGON (((120.68929 -20.75734,120.68896 -20.75753,120.68823 -20.75717,120.68758 -20.75639,120.6873 -20.75503,120.68731 -20.75285,120.68783 -20.75095,120.68915 -20.74807,120.68916 -20.74753,120.68765 -20.74358,120.68719 -20.74165,120.6853 -20.73847,120.68519 -20.73782,120.68474 -20.73718,120.68416 -20.73541,120.68415 -20.73486,120.68436 -20.73462,120.68464 -20.73457,120.68503 -20.73451,120.68536 -20.73467,120.68553 -20.73499,120.68606 -20.7366,120.68656 -20.73732,120.68668 -20.73802,120.68858 -20.7412,120.68903 -20.74319,120.6906 -20.7473,120.69059 -20.74835,120.68919 -20.75139,120.68875 -20.75302,120.68874 -20.75491,120.68892 -20.75581,120.68946 -20.75644,120.68952 -20.75703,120.68929 -20.75734)))",Lake,,Perennial,Not applicable,Perennial Lake,5619.090,40.108,"401079","5599"
"MULTIPOLYGON (((118.32852 -21.25283,118.32792 -21.25272,118.32695 -21.25159,118.32695 -21.25035,118.32635 -21.24978,118.32586 -21.24967,118.3246 -21.2497,118.32345 -21.24798,118.3226 -21.24708,118.32248 -21.24663,118.32272 -21.24584,118.32332 -21.24494,118.3238 -21.24471,118.32717 -21.24459,118.32775 -21.24454,118.32825 -21.24464,118.3288 -21.24481,118.32917 -21.24507,118.32952 -21.24549,118.33003 -21.24642,118.33003 -21.24664,118.33002 -21.24695,118.32887 -21.24808,118.32815 -21.24978,118.32803 -21.2508,118.32876 -21.25249,118.32852 -21.25283)))",Lake,,Perennial,Not applicable,Perennial Lake,2849.462,38.836,"388365","2848"
"MULTIPOLYGON (((120.6763 -20.94273,120.67596 -20.94215,120.67841 -20.93791,120.68282 -20.9338,120.68348 -20.93333,120.68585 -20.93162,120.688 -20.93056,120.6917 -20.92936,120.69248 -20.92886,120.69278 -20.92878,120.6931 -20.92886,120.69345 -20.92907,120.6935 -20.92976,120.69235 -20.93058,120.68663 -20.93276,120.68584 -20.93333,120.68374 -20.93484,120.67982 -20.93829,120.67719 -20.94279,120.6763 -20.94273)))",Lake,,Perennial,Not applicable,Perennial Lake,4982.334,35.449,"354492","4986"
"MULTIPOLYGON (((117.11573 -21.62088,117.11483 -21.62083,117.11303 -21.61958,117.11136 -21.61799,117.10967 -21.61595,117.10895 -21.61482,117.10807 -21.61276,117.10632 -21.60984,117.10572 -21.60848,117.10489 -21.6043,117.10487 -21.60296,117.10459 -21.60093,117.1051 -21.60023,117.10594 -21.60208,117.10587 -21.60318,117.10695 -21.60589,117.10729 -21.60826,117.10777 -21.60973,117.10908 -21.61177,117.1098 -21.61347,117.11172 -21.61642,117.11328 -21.61834,117.11521 -21.61982,117.11573 -21.62088)))",Lake,DEEP REACH POOL,Perennial,Not applicable,Perennial Lake,5341.811,34.976,"349759","5325"
"MULTIPOLYGON (((117.10539 -20.97799,117.10407 -20.97779,117.10225 -20.97787,117.10166 -20.9779,117.1 -20.97759,117.09673 -20.97699,117.0936 -20.97597,117.09092 -20.97438,117.08904 -20.97134,117.08916 -20.96975,117.08896 -20.96871,117.08892 -20.96851,117.09 -20.96772,117.09145 -20.9658,117.09532 -20.96254,117.09611 -20.96327,117.09157 -20.96727,117.09 -20.97009,117.09 -20.97134,117.09084 -20.97281,117.09204 -20.97405,117.09469 -20.97541,117.1 -20.97661,117.10118 -20.97688,117.10443 -20.97689,117.10539 -20.97699,117.10539 -20.97799)))",Lake,WARANOOLAR POOL,Perennial,Not applicable,Perennial Lake,6408.410,33.752,"337524","6416"
"MULTIPOLYGON (((117.19408 -20.71596,117.19499 -20.7154,117.19585 -20.7156,117.19801 -20.7147,117.19861 -20.71492,117.19861 -20.7156,117.19816 -20.71645,117.19693 -20.71616,117.19501 -20.71718,117.19249 -20.71786,117.18985 -20.71797,117.1884 -20.71864,117.1854 -20.72101,117.18403 -20.72317,117.18252 -20.72203,117.18252 -20.72169,117.18372 -20.72067,117.18456 -20.71932,117.18624 -20.71774,117.18829 -20.71672,117.18985 -20.71639,117.19165 -20.7165,117.19213 -20.71594,117.19297 -20.71627,117.19408 -20.71596)))",Lake,,Perennial,Not applicable,Perennial Lake,4175.662,33.011,"330110","4183"
